Comment,Designator,Footprint,LCSC Part Number
220nf 25V,C1,0603,C21120
LED Blue 3.1V 5mA 100mcd,LED1,0805,C2293
47Ω 100mW 75V,R1,0603,C23182
3.3V 13.56MHz,U1,QFN8P50_160X160X50L40X20N,C710403
